,西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,水質年鑑コード,推定絶対番号,推定水系コード,備考,緯度_Ｎ,経度_Ｅ,緯度_Ｎ_dms,経度_Ｅ_dms,地点統一番号
8088,1983,1,89321.0,4610690,2,46,27,1,1,天降川水域,アモリカ゛ワスイイキ,,新川橋,シンカワハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R731,,,,31.72277778,130.74194444, 31:43:22,130:44:31,4602701
8089,1983,1,89321.0,4610700,2,46,27,51,2,天降川水域,アモリカ゛ワスイイキ,,下原橋,シモハラハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.86916667,130.73277778, 31:52:09,130:43:58,4602751
8090,1983,1,89321.0,4610710,2,46,27,52,2,天降川水域,アモリカ゛ワスイイキ,,武安橋,タケヤスハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.77611111,130.75888889, 31:46:34,130:45:32,4602752
8091,1983,1,89321.0,4610720,2,46,28,1,1,中津川水域,ナカツカ゛ワスイイキ,,犬飼橋,イヌカイハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R751,,,,31.82750000,130.77416667, 31:49:39,130:46:27,4602801
8092,1983,1,89595.0,4610730,2,46,29,1,1,検校川水域,ケンコウカ゛ワスイイキ,,検校橋,ケンコウハ゛シ,,A,1.0,3.0,1974.0,6.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R741,,,,31.70694444,130.78555556, 31:42:25,130:47:08,4602901
8093,1983,1,89322.0,4610740,2,46,30,1,1,万之瀬川水域（１）,マノセカ゛ワスイイキ（１）,,両添橋,リヨウソ゛エハ゛シ,,A,1.0,3.0,1974.0,7.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R109,,,,31.39805556,130.40722222, 31:23:53,130:24:26,4603001
8094,1983,1,89322.0,4610750,2,46,30,51,2,万之瀬川水域（１）,マノセカ゛ワスイイキ（１）,,瀬戸山橋,セトヤマハ゛シ,,A,1.0,3.0,1974.0,7.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.45694444,130.44888889, 31:27:25,130:26:56,4603051
8095,1983,1,89322.0,4610760,2,46,31,1,1,万之瀬川水域（２）,マノセカ゛ワスイイキ（２）,,花川橋,ハナカワハ゛シ,,B,1.0,3.0,1974.0,7.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R107,,,,31.41916667,130.34055556, 31:25:09,130:20:26,4603101
8096,1983,1,89322.0,4610770,2,46,31,51,2,万之瀬川水域（２）,マノセカ゛ワスイイキ（２）,,轟橋,トト゛ロキハ゛シ,,B,1.0,3.0,1974.0,7.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.39250000,130.37527778, 31:23:33,130:22:31,4603151
8097,1983,1,89322.0,4610780,2,46,32,1,1,万之瀬川水域（３）,マノセカ゛ワスイイキ（３）,,万之瀬橋,マノセハ゛シ,,C,2.0,3.0,1974.0,7.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R101,,,,31.42750000,130.32555556, 31:25:39,130:19:32,4603201
8098,1983,1,89322.0,4610790,2,46,33,1,1,加世田川水域,カセタ゛カ゛ワスイイキ,,田中橋,タナカハ゛シ,,C,2.0,3.0,1974.0,7.0,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R105,,,,31.40888889,130.31500000, 31:24:32,130:18:54,4603301
8099,1983,1,89590.0,4610800,2,46,34,1,1,高尾野川水域,タカオノカ゛ワスイイキ,,出水橋,イス゛ミハ゛シ,,B,1.0,3.0,1975.0,4.0,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R002,,,,32.08666667,130.28333333, 32:05:12,130:17:00,4603401
8100,1983,1,89590.0,4610810,2,46,35,1,1,折口川水域,オリク゛チカ゛ワスイイキ,,田島橋,タシ゛マハ゛シ,,C,2.0,3.0,1975.0,4.0,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R011,,,,32.06250000,130.21250000, 32:03:45,130:12:45,4603501
8101,1983,1,89590.0,4610820,2,46,36,1,1,高松川水域,タカマツカ゛ワスイイキ,,浜田橋,ハマタ゛ハ゛シ,,A,1.0,3.0,1975.0,4.0,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R021,,,,32.01750000,130.20555556, 32:01:03,130:12:20,4603601
8102,1983,1,89596.0,4610830,2,46,37,1,1,五反田川水域,コ゛タンタ゛カ゛ワスイイキ,,五反田橋,コ゛タンタ゛ハ゛シ,,B,1.0,3.0,1975.0,4.0,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R031,,,,31.72527778,130.27444444, 31:43:31,130:16:28,4603701
8103,1983,1,89596.0,4610840,2,46,38,1,1,八房川水域,ヤフサカ゛ワスイイキ,,川上橋,カワカミハ゛シ,,A,1.0,3.0,1975.0,4.0,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46R042,,,,31.71305556,130.32750000, 31:42:47,130:19:39,4603801
