西暦年度,ＲＬＳ識別コード,水系コード,絶対番号,地点新設等コード,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,ＣＯＤ等基準点識別コード,水域名称_漢字,水域名称_カタカナ,水域名称_ローマ字,地点名称_漢字,地点名称_カタカナ,地点名称_ローマ字,類型,達成期間,指定区分,類型指定年_ＣＯＤ等,類型指定月_ＣＯＤ等,類型指定日_ＣＯＤ等,特例１,特例２,特例３,特例４,特例５,ＣＯＤの測定方法,県際水域コード,県際地点コード,測定中止年,測定中止月,測定中止日,測定再開年,測定再開月,測定再開日,ＮＰ測定コード,ＮＰ基準点識別コード,ＮＰ水域コード,ＮＰ水域名称_漢字,ＮＰ水域名称_カタカナ,ＮＰ水域名称_ローマ字,ＮＰ地点名称_漢字,ＮＰ地点名称_カタカナ,ＮＰ地点名称_ローマ字,ＮＰ類型,ＮＰ達成期間,ＮＰ指定区分,ＮＰ類型指定年,ＮＰ類型指定月,ＮＰ類型指定日,Ｎ指定の有無,Ｐ指定の有無,Ｎ暫定基準値,Ｐ暫定基準値,ＮＰ基準の特例,Ｎ測定方法,Ｐ測定方法,ＮＰ県際水域コード,ＮＰ県際地点コード,ＮＰ測定中止年,ＮＰ測定中止月,ＮＰ測定中止日,ＮＰ測定再開年,ＮＰ測定再開月,ＮＰ測定再開日,水道の取水地点,緯度_Ｎ(度),緯度_Ｎ(分),緯度_Ｎ(秒),経度_Ｅ（度）,経度_Ｅ（分）,経度_Ｅ（秒）,水質年鑑コード,推定絶対番号,推定水系コード,備考
1972,1,,3411021,2,,,,,,,,,フジドウガワ3,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26,42,132,42,46,34R4030,,,
1972,1,,3411031,2,,,,,,,,,サンエイスイゲンチイリグチ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,24,09,132,44,26,34R4040,3411070,87297,
1972,1,,3411041,2,,,,,,,,,サンエイスイゲンチ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,42,132,44,48,34R4050,,,
1972,1,,3411051,2,,,,,,,,,チヨスイチカリユウ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,17,132,43,51,34R4060,3411130,,
1972,1,,3411061,2,,,,,,,,,ヒズメバシ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,20,53,132,42,24,34R4070,3411080,87297,
1972,1,,3411141,2,,,,,,,,,ハンビガワ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,25,32,132,44,36,34R4120,,,
1972,1,,3411151,2,,,,,,,,,ハラヒガワ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,25,12,132,44,49,34R4210,,,
1972,1,,3411161,2,,,,,,,,高尾,タカオ,,A,3,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,42,132,45,40,34R4310,3411320,87297,
1972,1,,3411171,2,,,,,,,,,フルカワガワ-2,,A,1,,1974,04,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,17,132,43,29,34R4410,3411350,87297,
1972,1,,3411331,2,,,,,,,,,ゾウガガワカリユウ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,30,44,132,46,58,34R6010,3410690,,
1972,1,,3411341,2,,,,,,,,,イリノガワゴウリユウマエ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,28,31,133,52,17,34R6020,,,
1972,1,,3411351,2,,,,,,,,,イリノガワカリユウ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,28,27,132,52,42,34R6030,3410660,87296,
1972,1,,3411371,2,,,,,,,,,オバラバシウエ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,24,16,132,59,22,34R6050,3410670,87296,
1972,1,,3411411,2,,,,,,,,,サダヤバシ,,B,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,23,24,133,03,06,34R6070,3410770,87296,
1972,1,,3411421,2,,,,,,,,,シロイチ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,26,23,132,50,57,34R6110,3410780,87296,
1972,1,,3411441,2,,,,,,,,,クラナシガワ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,30,28,132,55,10,34R6410,3410790,87296,
1972,1,,3411451,2,,,,,,,,,クラナシチヨスイチ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,30,15,132,53,36,34R6420,,,
1972,1,,3411621,2,,,,,,,,,タヅナガワカリユウ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,35,11,133,03,06,34R8010,,,
1972,1,,3411631,2,,,,,,,,,アカヤガワカリユウ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,35,33,133,05,03,34R8020,3410410,87080,
1972,1,,3411641,2,,,,,,,,,ミカワチヨスイチ,,A,1,,1973,02,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,31,133,06,36,34R8030,3410430,,
