西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
2009,3220130,32,501,57,0,#,7.9,#,8.8,1,24,#,5.2,#,11,7,22,#,8.3,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,5.8,13,24,#,2.7,#,4.3,9,12,#,3.5,#,3.6,#,3.9,#,1,#,16,6,24,#,5,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
2009,3220180,32,501,62,0,#,7.8,#,8.9,3,36,#,2.6,#,11,17,36,#,7.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1.1,#,5.6,11,36,#,1.8,#,3.6,4,12,#,2.7,#,2.8,#,3.2,#,1,#,4,0,12,#,3,#,4,#,490,0,12,#,89,E,99999,E,99999,999,999,E,99999
2009,3220220,32,502,01,0,#,7.3,#,8.8,6,49,#,6,#,13,2,49,#,10,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3.6,#,6,49,49,#,4.1,#,5.7,20,20,#,5.1,#,5.2,#,5.5,#,2,#,9,8,37,#,5,#,8,#,1700,1,16,#,200,E,99999,E,99999,999,999,E,99999
2009,3220230,32,502,02,0,#,7.2,#,8.9,6,49,#,0.8,#,13,9,49,#,9.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3.8,#,5.9,49,49,#,3.9,#,5.4,20,20,#,4.9,#,5,#,5.3,#,1,#,10,12,37,#,5,#,7,#,1700,1,16,#,260,E,99999,E,99999,999,999,E,99999
2009,3220240,32,502,03,0,#,7.5,#,8.7,9,61,#,2,#,13,7,61,#,9.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4.1,#,5.9,61,61,#,4.3,#,5.6,20,20,#,5,#,5,#,5.3,#,2,#,11,9,37,#,5,#,2,#,790,0,16,#,120,E,99999,E,99999,999,999,E,99999
2009,3220250,32,502,04,0,#,7.3,#,8.7,5,48,#,3.6,#,13,4,48,#,9.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3.8,#,5.6,48,48,#,4.3,#,5.6,20,20,#,4.9,#,4.9,#,5,#,2,#,11,15,36,#,6,#,5,#,790,0,16,#,190,E,99999,E,99999,999,999,E,99999
2009,3220260,32,502,05,0,#,6.9,#,8.5,0,60,#,2.3,#,12,24,60,#,8.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2.9,#,5.6,59,60,#,3.5,#,5.4,21,21,#,4.2,#,4.3,#,4.5,#,1,#,11,9,36,#,4,#,22,#,1700,2,16,#,520,E,99999,E,99999,999,999,E,99999
2009,3220270,32,502,51,0,#,7.4,#,8.8,6,62,#,4.2,#,13,8,62,#,9.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3.3,#,5.7,62,62,#,4.2,#,5.6,20,20,#,4.8,#,4.8,#,5,#,3,#,7,17,38,#,5,#,23,#,1400,1,16,#,290,E,99999,E,99999,999,999,E,99999
2009,3220330,32,502,53,0,#,7.3,#,8.8,4,12,#,2.1,#,13,2,12,#,9.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3.5,#,5.7,12,12,#,4,#,5.4,6,6,#,4.9,#,5.3,#,5.3,#,3,#,5,0,12,#,4,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
2009,3220340,32,502,54,0,#,7.6,#,8.7,4,12,#,8,#,12,0,12,#,10,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4.5,#,6.2,12,12,#,4.5,#,5.5,6,6,#,5.1,#,5.1,#,5.4,#,3,#,15,5,12,#,6,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,999,999,E,99999
2009,3220290,32,503,01,0,#,6.9,#,8.9,2,12,#,6.1,#,12,0,12,#,9.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3.6,#,8.2,3,11,#,3.6,#,8.2,3,11,#,5,#,4.7,#,5.6,#,7,#,33,3,12,#,14,#,170,#,4900,999,4,#,2100,E,99999,E,99999,999,999,E,99999
2009,3220300,32,503,02,0,#,7.6,#,9,9,24,#,8.1,#,12,0,24,#,10,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4,#,7.8,19,22,#,4.1,#,7.7,9,11,#,5.8,#,5.6,#,6.3,#,2,#,35,5,24,#,13,#,49,#,92000,999,4,#,24000,E,99999,E,99999,999,999,E,99999
2009,3230010,32,601,01,0,#,8,#,8.3,0,12,#,7,#,9.7,2,12,#,8.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,0.6,#,2.2,1,12,#,0.8,#,1.8,0,6,#,1.4,#,1.6,#,1.7,E,99999,E,99999,999,999,E,99999,<,2,#,2300,1,6,#,390,N,0.5,N,0.5,0,6,N,0.5
2009,3230020,32,601,02,0,#,8.1,#,8.3,0,12,#,7.3,#,9.2,2,12,#,8.4,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,0.7,#,1.5,0,12,#,0.7,#,1.5,0,6,#,1.2,#,1.3,#,1.4,E,99999,E,99999,999,999,E,99999,<,2,#,2,0,6,#,2,N,0.5,N,0.5,0,6,N,0.5
2009,3230030,32,601,03,0,#,8.1,#,8.3,0,12,#,7.2,#,9.3,3,12,#,8.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,0.5,#,1.9,0,12,#,0.7,#,1.9,0,6,#,1.4,#,1.4,#,1.7,E,99999,E,99999,999,999,E,99999,<,2,#,2,0,6,#,2,N,0.5,N,0.5,0,6,N,0.5
2009,3230040,32,602,01,0,#,8.1,#,8.3,0,12,#,6.3,#,10,3,12,#,8.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,1.1,#,2.8,2,12,#,1.3,#,2.3,1,6,#,1.7,#,1.7,#,1.9,E,99999,E,99999,999,999,E,99999,<,2,#,110,0,6,#,20,N,0.5,N,0.5,0,6,N,0.5
